MEAN£¨ÈË¿ÚÃÜ¶È£©,rate
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1113.12,0.0000405821 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
883.41,0.0000322074 
1047.25,0.0000381804 
1150.17,0.0000419326 
1459.67,0.0000532166 
1512.61,0.0000551465 
1512.61,0.0000551465 
1512.61,0.0000551465 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1031.23,0.0000375965 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1046.79,0.0000381637 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1100.22,0.0000401117 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
858.17,0.0000312870 
1010.76,0.0000368500 
1010.76,0.0000368500 
1224.28,0.0000446345 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1113.12,0.0000405821 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
914.86,0.0000333537 
1048.91,0.0000382409 
1494.00,0.0000544682 
1512.61,0.0000551465 
1512.61,0.0000551465 
1512.61,0.0000551465 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1112.62,0.0000405637 
1131.81,0.0000412634 
1105.38,0.0000402999 
1059.55,0.0000386290 
1006.36,0.0000366897 
1016.49,0.0000370589 
792.00,0.0000288747 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.22,0.0000272056 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
746.21,0.0000272054 
871.62,0.0000317772 
1209.32,0.0000440891 
1233.01,0.0000449529 
1255.76,0.0000457823 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
